title,company,location,skills
tsigolomsies dleiF,Howard Group,"Seanfurt, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffO ygetartS feihC,Kramer-Edwards,"Williambury, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
werc nibac riA,Berry-Houston,"South Jorgeside, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
)leveL-yrtnE( remmargorP nohtyP,Mathews Inc,"Robertborough, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
regnar/nedraW,Riley-Johnson,"South Saratown, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsipareht stropS,Spencer and Sons,"Hullview, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo tnempoleved strA,Camacho-Sanchez,"Philipland, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rekamtnirP,Oliver and Sons,"North Patty, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
resivda ytefas dna htlaeH,Eaton PLC,"North Stephen, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne smetsys gnirutcafunaM,Stanley-Frederick,"Stevensland, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"snoitacilppa ,remmargorP",Bradley LLC,"Reyesstad, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsicisyhp lacideM,"Parker, Goodwin and Zavala","Bellberg, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rennalp aideM,Kim-Miles,"North Johnland, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
)nohtyP( repoleveD erawtfoS,Moreno-Rodriguez,"Martinezburgh, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"scitamoeg/dnal ,royevruS",Brown-Ortiz,"Joshuatown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
evitucexe lageL,Hartman PLC,"West Ericstad, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"cimedaca ,nairarbiL",Brooks Inc,"Tuckertown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
retsirraB,Washington-Castillo,"Perezton, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo snoitibihxe yrellag/muesuM,"Nguyen, Yoder and Petty","Lake Abigail, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"citsongaid ,rehpargoidaR",Holder LLC,"Jacobshire, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rotartsinimda esabataD,Yates-Ferguson,"Port Susan, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rengised erutinruF,Ortega-Lawrence,"North Tiffany, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rekorb pihS,"Fuentes, Walls and Castro","Michelleville, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
